COMUNA;TELEFONO;VIVIENDA;PARED;PISO;ENERGIA;ALCANTA;GAS;BASURA;ACUEDUC;ESTRATO;ELIMBASURA;THOGAR;TENEVIV;USOSANI;USANITAR;DUCHA;AGUA;LLEGA;SUMINIS;PREPARAN;COCINA;COCINAN;ALUMBRA;USOTELE;NEVERA;LAVADORA;TVCOLOR;TVCABLE;CALENTA;HORNO;AIRE;COMPUTADOR;MOTO;AUTO1;SEXO;FECHANTO;PARENTES;ESTCIVIL;CONYUVIVE;DISCAPA;CARNET;EMBARAZA;ASISTE;TIPOESTA;GRADO;NIVEL;INGRESOS;PERCIBE;PUNTAJE
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;1;2;2;2;25/01/1961;1;5;0;0;3;1;2;0;5;1;0;2;47.81
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;1;2;2;1;28/12/1988;3;5;0;0;3;2;2;0;6;2;497000;1;47.81
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;1;2;2;1;28/02/1997;3;5;0;0;4;2;1;4;1;2;0;2;47.81
1;2;2;1;2;1;2;2;1;2;2;1;1;4;0;0;2;9;0;0;2;2;3;1;0;2;2;2;2;2;2;2;2;2;2;2;23/07/1968;1;5;0;0;4;1;2;0;3;2;350000;1;15.33
1;2;2;1;2;1;2;2;1;2;2;1;1;4;0;0;2;9;0;0;2;2;3;1;0;2;2;2;2;2;2;2;2;2;2;1;7/02/1981;11;5;0;0;0;2;2;0;6;2;50000;1;15.33
1;2;2;1;2;1;2;2;1;2;2;1;1;4;0;0;2;9;0;0;2;2;3;1;0;2;2;2;2;2;2;2;2;2;2;1;7/08/1988;3;5;0;0;4;2;2;0;6;2;50000;1;15.33
1;2;2;1;2;1;2;2;1;2;2;1;1;4;0;0;2;9;0;0;2;2;3;1;0;2;2;2;2;2;2;2;2;2;2;1;23/07/2004;3;5;0;0;1;2;1;2;0;0;0;2;15.33
1;1;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;1;17/01/1969;1;2;2;0;3;2;2;0;5;1;50000;1;45.76
1;1;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;2;24/03/1972;2;2;1;0;3;1;2;0;5;1;497000;1;45.76
1;1;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;1;7/08/1998;3;5;0;0;3;2;1;4;4;1;0;2;45.76
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;1;5/03/1967;1;2;2;0;4;2;2;0;5;1;0;1;23.53
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;2;29/03/1968;2;2;1;0;4;1;2;0;2;1;0;2;23.53
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;1;11/06/1990;3;5;0;0;4;2;2;0;5;1;0;2;23.53
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;2;6/03/1994;3;5;0;0;4;2;1;4;1;2;0;2;23.53
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;1;30/08/1995;3;5;0;0;4;2;1;4;1;2;0;2;23.53
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;2;8/05/1993;15;5;0;0;4;1;2;0;4;1;0;2;23.53
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;1;2;2;1;6/11/1970;1;2;2;0;4;2;2;0;5;1;497000;1;49.45
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;1;2;2;2;26/03/1969;2;2;1;0;4;1;2;0;1;2;200000;1;49.45
